label,label_index,sample_index,path,reason
U,20,82,continuation dataset/U/82.jpg,insufficient_hands_detected:0
U,20,83,continuation dataset/U/83.jpg,insufficient_hands_detected:0
U,20,84,continuation dataset/U/84.jpg,insufficient_hands_detected:0
U,20,167,continuation dataset/U/167.jpg,insufficient_hands_detected:0
U,20,202,continuation dataset/U/202.jpg,insufficient_hands_detected:0
U,20,203,continuation dataset/U/203.jpg,insufficient_hands_detected:0
U,20,204,continuation dataset/U/204.jpg,insufficient_hands_detected:0
U,20,206,continuation dataset/U/206.jpg,insufficient_hands_detected:0
W,22,187,continuation dataset/W/187.jpg,insufficient_hands_detected:0
W,22,188,continuation dataset/W/188.jpg,insufficient_hands_detected:0
W,22,189,continuation dataset/W/189.jpg,insufficient_hands_detected:0
W,22,191,continuation dataset/W/191.jpg,insufficient_hands_detected:0
W,22,193,continuation dataset/W/193.jpg,insufficient_hands_detected:0
W,22,195,continuation dataset/W/195.jpg,insufficient_hands_detected:0
W,22,196,continuation dataset/W/196.jpg,insufficient_hands_detected:0
W,22,199,continuation dataset/W/199.jpg,insufficient_hands_detected:0
W,22,202,continuation dataset/W/202.jpg,insufficient_hands_detected:0
W,22,203,continuation dataset/W/203.jpg,insufficient_hands_detected:0
W,22,204,continuation dataset/W/204.jpg,insufficient_hands_detected:0
W,22,216,continuation dataset/W/216.jpg,insufficient_hands_detected:0
W,22,217,continuation dataset/W/217.jpg,insufficient_hands_detected:0
W,22,218,continuation dataset/W/218.jpg,insufficient_hands_detected:0
W,22,485,continuation dataset/W/485.jpg,insufficient_hands_detected:0
W,22,486,continuation dataset/W/486.jpg,insufficient_hands_detected:0
W,22,491,continuation dataset/W/491.jpg,insufficient_hands_detected:0
W,22,498,continuation dataset/W/498.jpg,insufficient_hands_detected:0
W,22,500,continuation dataset/W/500.jpg,insufficient_hands_detected:0
W,22,505,continuation dataset/W/505.jpg,insufficient_hands_detected:0
W,22,528,continuation dataset/W/528.jpg,insufficient_hands_detected:0
W,22,529,continuation dataset/W/529.jpg,insufficient_hands_detected:0
W,22,530,continuation dataset/W/530.jpg,insufficient_hands_detected:0
W,22,532,continuation dataset/W/532.jpg,insufficient_hands_detected:0
W,22,533,continuation dataset/W/533.jpg,insufficient_hands_detected:0
W,22,535,continuation dataset/W/535.jpg,insufficient_hands_detected:0
W,22,537,continuation dataset/W/537.jpg,insufficient_hands_detected:0
W,22,538,continuation dataset/W/538.jpg,insufficient_hands_detected:0
W,22,539,continuation dataset/W/539.jpg,insufficient_hands_detected:0
W,22,541,continuation dataset/W/541.jpg,insufficient_hands_detected:0
W,22,560,continuation dataset/W/560.jpg,insufficient_hands_detected:0
W,22,563,continuation dataset/W/563.jpg,insufficient_hands_detected:0
W,22,837,continuation dataset/W/837.jpg,insufficient_hands_detected:0
W,22,838,continuation dataset/W/838.jpg,insufficient_hands_detected:0
W,22,855,continuation dataset/W/855.jpg,insufficient_hands_detected:0
W,22,856,continuation dataset/W/856.jpg,insufficient_hands_detected:0
W,22,861,continuation dataset/W/861.jpg,insufficient_hands_detected:0
W,22,870,continuation dataset/W/870.jpg,insufficient_hands_detected:0
W,22,871,continuation dataset/W/871.jpg,insufficient_hands_detected:0
W,22,872,continuation dataset/W/872.jpg,insufficient_hands_detected:0
W,22,873,continuation dataset/W/873.jpg,insufficient_hands_detected:0
W,22,874,continuation dataset/W/874.jpg,insufficient_hands_detected:0
W,22,875,continuation dataset/W/875.jpg,insufficient_hands_detected:0
W,22,876,continuation dataset/W/876.jpg,insufficient_hands_detected:0
W,22,878,continuation dataset/W/878.jpg,insufficient_hands_detected:0
W,22,879,continuation dataset/W/879.jpg,insufficient_hands_detected:0
W,22,887,continuation dataset/W/887.jpg,insufficient_hands_detected:0
W,22,891,continuation dataset/W/891.jpg,insufficient_hands_detected:0
W,22,892,continuation dataset/W/892.jpg,insufficient_hands_detected:0
W,22,895,continuation dataset/W/895.jpg,insufficient_hands_detected:0
W,22,897,continuation dataset/W/897.jpg,insufficient_hands_detected:0
